ssid,bssid,dBm,ntp
b'53-3',50:67:f0:23:8f:d2,-64,1568643697.314,3
b'D-Link_DIR-600M',3c:1e:04:65:00:ed,-81,1568643697.398,3
b'53-3',50:67:f0:23:8f:d2,-65,1568643697.572,3
b'D-Link_DIR-600M',3c:1e:04:65:00:ed,-82,1568643697.662,4
b'ASUS',18:31:bf:3d:e0:30,-59,1568643697.719,4
b'ASUS',18:31:bf:3d:e0:30,-59,1568643698.018,4
b'195-3',78:8d:f7:72:99:d8,-76,1568643698.118,5
b'ASUS',18:31:bf:3d:e0:30,-59,1568643698.170,5
b'ASUS',18:31:bf:3d:e0:30,-64,1568643698.426,5
b'197-4',30:b4:9e:83:53:69,-69,1568643698.865,6
b'197-4',30:b4:9e:83:53:69,-74,1568643698.967,7
b'197-4',30:b4:9e:83:53:69,-69,1568643699.473,8
