ssid,bssid,dBm,ntp
b'ASUS',18:31:bf:3d:e0:30,-35,1569671597.120,2
b'ASUS',18:31:bf:3d:e0:30,-30,1569671597.247,3
b'ASUS',18:31:bf:3d:e0:30,-37,1569671597.499,3
b'ASUS',18:31:bf:3d:e0:30,-32,1569671597.605,4
b'ASUS',18:31:bf:3d:e0:30,-33,1569671597.906,4
b'ASUS',18:31:bf:3d:e0:30,-36,1569671598.320,5
b'197-4',30:b4:9e:83:53:69,-83,1569671598.405,6
b'197-4',30:b4:9e:83:53:69,-83,1569671598.771,7
b'197-4',30:b4:9e:83:53:69,-83,1569671599.182,8
b'ASUS',18:31:bf:3d:e0:30,-69,1569671599.547,9
b'ASUS',18:31:bf:3d:e0:30,-81,1569671599.962,10
b'ASUS',18:31:bf:3d:e0:30,-82,1569671600.383,11
b'ASUS',18:31:bf:3d:e0:30,-32,1569671601.641,3
b'ASUS',18:31:bf:3d:e0:30,-36,1569671601.913,3
b'ASUS',18:31:bf:3d:e0:30,-31,1569671602.129,4
b'ASUS',18:31:bf:3d:e0:30,-36,1569671602.428,5
b'197-4',30:b4:9e:83:53:69,-84,1569671602.758,5
b'197-4',30:b4:9e:83:53:69,-79,1569671602.882,5
b'197-4',30:b4:9e:83:53:69,-78,1569671602.966,5
b'197-4',30:b4:9e:83:53:69,-79,1569671603.269,5
b'197-4',30:b4:9e:83:53:69,-78,1569671603.370,5
b'197-4',30:b4:9e:83:53:69,-79,1569671603.571,5
b'197-4',30:b4:9e:83:53:69,-80,1569671603.680,5
b'197-4',30:b4:9e:83:53:69,-79,1569671603.776,5
b'197-4',30:b4:9e:83:53:69,-79,1569671603.886,5
b'197-4',30:b4:9e:83:53:69,-79,1569671603.988,5
b'197-4',30:b4:9e:83:53:69,-79,1569671604.292,5
b'197-4',30:b4:9e:83:53:69,-80,1569671604.390,5
b'197-4',30:b4:9e:83:53:69,-78,1569671604.493,5
b'197-4',30:b4:9e:83:53:69,-79,1569671604.821,5
b'197-4',30:b4:9e:83:53:69,-80,1569671605.007,5
b'197-4',30:b4:9e:83:53:69,-81,1569671605.107,5
b'197-4',30:b4:9e:83:53:69,-81,1569671605.517,5
b'197-4',30:b4:9e:83:53:69,-81,1569671605.619,5
