ssid,bssid,dBm,ntp
b'ASUS',18:31:bf:3d:e0:30,-35,1569671665.199,2
b'ASUS',18:31:bf:3d:e0:30,-34,1569671665.595,3
b'ASUS',18:31:bf:3d:e0:30,-30,1569671666.005,4
b'197-4',30:b4:9e:83:53:69,-82,1569671666.891,7
b'197-4',30:b4:9e:83:53:69,-79,1569671667.315,8
b'ASUS',18:31:bf:3d:e0:30,-78,1569671668.073,10
b'ASUS',18:31:bf:3d:e0:30,-63,1569671668.364,10
b'ASUS',18:31:bf:3d:e0:30,-35,1569671669.589,2
b'ASUS',18:31:bf:3d:e0:30,-33,1569671670.212,3
b'ASUS',18:31:bf:3d:e0:30,-35,1569671670.260,3
b'ASUS',18:31:bf:3d:e0:30,-39,1569671670.305,3
b'ASUS',18:31:bf:3d:e0:30,-34,1569671670.964,3
b'ASUS',18:31:bf:3d:e0:30,-25,1569671671.571,3
b'ASUS',18:31:bf:3d:e0:30,-31,1569671672.527,3
b'ASUS',18:31:bf:3d:e0:30,-33,1569671672.886,3
b'ASUS',18:31:bf:3d:e0:30,-32,1569671673.071,3
b'ASUS',18:31:bf:3d:e0:30,-33,1569671673.286,3
