ssid,bssid,dBm,ntp
b'ASUS',18:31:bf:3d:e0:30,-67,1569162477.661,0
b'ASUS',18:31:bf:3d:e0:30,-60,1569162477.737,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162477.818,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162477.941,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162478.058,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162478.143,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162478.245,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162478.451,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162478.758,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162478.859,0
b'ASUS',18:31:bf:3d:e0:30,-66,1569162478.962,0
b'ASUS',18:31:bf:3d:e0:30,-60,1569162479.226,0
b'ASUS',18:31:bf:3d:e0:30,-63,1569162479.445,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162479.491,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162479.595,0
b'ASUS',18:31:bf:3d:e0:30,-60,1569162479.642,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162479.716,0
b'ASUS',18:31:bf:3d:e0:30,-59,1569162479.855,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162479.960,0
b'ASUS',18:31:bf:3d:e0:30,-61,1569162480.064,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162480.111,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162480.194,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162480.294,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162480.501,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162480.601,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162480.703,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162480.809,0
b'ASUS',18:31:bf:3d:e0:30,-63,1569162481.458,0
b'ASUS',18:31:bf:3d:e0:30,-60,1569162481.536,0
b'ASUS',18:31:bf:3d:e0:30,-63,1569162481.611,0
b'ASUS',18:31:bf:3d:e0:30,-65,1569162481.657,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162481.703,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162481.747,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162481.826,0
b'ASUS',18:31:bf:3d:e0:30,-64,1569162481.871,0
