ssid,bssid,dBm,ntp
b'ASUS',18:31:bf:3d:e0:30,-35,1569651086.078,2
b'ASUS',18:31:bf:3d:e0:30,-32,1569651086.172,3
b'ASUS',18:31:bf:3d:e0:30,-32,1569651086.474,3
b'ASUS',18:31:bf:3d:e0:30,-29,1569651086.888,4
b'197-4',30:b4:9e:83:53:69,-78,1569651087.381,6
b'197-4',30:b4:9e:83:53:69,-83,1569651087.671,6
b'197-4',30:b4:9e:83:53:69,-81,1569651087.782,7
b'197-4',30:b4:9e:83:53:69,-82,1569651088.082,7
b'197-4',30:b4:9e:83:53:69,-79,1569651088.192,8
b'ASUS',18:31:bf:3d:e0:30,-79,1569651088.943,10
b'ASUS',18:31:bf:3d:e0:30,-77,1569651089.353,11
b'ASUS',18:31:bf:3d:e0:30,-89,1569651089.656,11
b'ASUS',18:31:bf:3d:e0:30,-83,1569651089.770,1
