TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
22:33:01,-0.11,-4.52,8.15,-0.0625,0.0,0.0625,-59.25,48.5625,-24.75,1.18,-0.75,28.87
22:33:05,-0.11,-4.53,8.14,0.0625,0.125,0.0,-57.0,49.0,-23.875,1.18,-0.75,28.87
22:33:05,-0.08,-4.54,8.17,0.125,0.1875,-0.0625,-58.5,48.5625,-23.0625,1.18,-0.75,28.87
22:33:06,-0.13,-4.51,8.15,-0.3125,-0.1875,-0.625,-59.25,48.25,-22.25,1.18,-0.75,28.87
22:33:07,-0.07,-4.55,8.15,-0.3125,-0.375,0.0,-57.75,47.875,-22.6875,1.18,-0.75,28.87
22:33:07,-0.1,-4.54,8.09,0.125,0.0625,0.5,-59.25,47.5,-22.6875,1.18,-0.75,28.87
22:33:08,-0.13,-4.52,8.14,-0.25,-0.0625,-0.0625,-57.75,48.5625,-24.375,1.18,-0.75,28.87
22:33:08,-0.09,-4.53,8.11,0.25,0.125,0.4375,-58.5,48.5625,-22.6875,1.18,-0.75,28.87
22:33:09,-0.09,-4.57,8.17,0.125,0.25,0.0,-57.75,48.5625,-23.5,1.18,-0.75,28.87
22:33:09,-0.14,-4.54,8.13,-0.125,0.0625,-0.4375,-57.375,48.5625,-22.6875,1.18,-0.75,28.87
22:33:10,-0.13,-4.49,8.11,-0.375,-0.1875,-0.1875,-58.875,48.25,-22.25,1.18,-0.75,28.87
22:33:11,-0.12,-4.52,8.12,-0.0625,-0.0625,0.375,-58.0625,48.5625,-24.375,1.18,-0.75,28.87
22:33:11,-0.08,-4.52,8.15,-0.375,-0.1875,-0.3125,-58.875,48.25,-23.0625,1.18,-0.75,28.87
22:33:12,-0.08,-4.57,8.13,0.1875,0.25,-0.3125,-57.375,48.5625,-22.6875,1.18,-0.75,28.87
22:33:12,-0.13,-4.53,8.19,-0.3125,-0.25,-0.5,-59.25,50.0625,-24.375,1.18,-0.75,28.87
22:33:13,-0.13,-4.53,8.14,-0.3125,-0.25,0.125,-58.0625,48.25,-23.5,1.18,-0.75,28.87
22:33:14,-0.13,-4.51,8.18,0.3125,0.0625,0.5,-58.875,47.5,-24.375,1.18,-0.75,28.87
22:33:14,-0.07,-4.54,8.12,0.3125,0.375,0.0625,-59.25,49.0,-22.6875,1.18,-0.75,28.87
22:33:15,-0.11,-4.53,8.16,0.0,0.0,-0.4375,-57.75,49.375,-23.5,1.18,-0.75,28.87
22:33:15,-0.12,-4.54,8.11,-0.3125,-0.1875,-0.3125,-59.25,50.375,-23.875,1.18,-0.75,28.87
22:33:16,-0.11,-4.52,8.18,-0.125,-0.125,0.3125,-58.875,48.5625,-24.375,1.18,-0.75,28.87
22:33:16,-0.13,-4.52,8.2,0.1875,0.1875,0.5,-57.75,48.5625,-23.5,1.18,-0.75,28.87
22:33:17,-0.11,-4.55,8.12,0.125,0.25,0.0,-58.875,48.25,-23.0625,1.18,-0.75,28.87
22:33:18,-0.12,-4.53,8.12,-0.1875,-0.1875,-0.5,-57.375,49.0,-24.75,1.18,-0.75,28.87
22:33:18,-0.12,-4.54,8.13,-0.4375,-0.3125,-0.1875,-58.875,48.25,-23.0625,1.18,-0.75,28.87
22:33:19,-0.1,-4.52,8.18,0.125,-0.0625,0.4375,-59.5625,48.5625,-24.375,1.18,-0.75,28.87
22:33:19,-0.09,-4.53,8.2,0.3125,0.3125,0.3125,-59.25,47.875,-23.875,1.18,-0.75,28.87
22:33:20,-0.09,-4.54,8.14,0.0625,0.125,-0.25,-59.25,49.375,-22.6875,1.18,-0.75,28.87
22:33:20,-0.13,-4.55,8.15,-0.4375,-0.25,-0.375,-58.0625,48.25,-23.875,1.18,-0.75,28.87
22:33:21,-0.13,-4.53,8.17,-0.25,-0.125,0.3125,-58.875,48.25,-24.375,1.18,-0.75,28.87
22:33:22,-0.14,-4.52,8.16,0.25,0.125,0.4375,-59.5625,49.375,-24.375,1.18,-0.75,28.87
22:33:22,-0.13,-4.53,8.19,0.1875,0.125,-0.1875,-59.25,48.5625,-24.375,1.18,-0.75,28.87
22:33:23,-0.1,-4.55,8.12,-0.1875,-0.0625,-0.4375,-59.25,48.25,-23.875,1.18,-0.75,28.87
22:33:23,-0.13,-4.53,8.16,-0.25,0.0,0.0,-59.25,48.5625,-23.875,1.18,-0.75,28.87
22:33:24,-0.13,-4.53,8.16,0.1875,0.0,0.375,-59.875,50.0625,-24.375,1.18,-0.75,28.87
22:33:25,-0.12,-4.54,8.18,0.375,0.1875,0.3125,-59.5625,50.75,-24.75,1.18,-0.75,28.87
22:33:25,-0.1,-4.55,8.15,0.0625,0.1875,-0.1875,-58.0625,48.5625,-23.5,1.18,-0.75,28.87
22:33:26,-0.11,-4.53,8.14,-0.125,-0.1875,-0.4375,-59.5625,48.5625,-24.375,1.18,-0.75,28.87
22:33:26,-0.08,-4.55,8.15,-0.125,-0.25,0.125,-58.875,49.375,-23.0625,1.18,-0.75,28.87
22:33:27,-0.09,-4.53,8.19,0.0625,0.25,0.3125,-59.25,50.0625,-23.5,1.18,-0.75,28.87
22:33:27,-0.09,-4.54,8.15,-0.25,-0.25,-0.125,-57.75,49.375,-23.875,1.18,-0.75,28.87
22:33:28,-0.13,-4.53,8.18,-0.125,-0.0625,-0.25,-59.875,49.0,-23.875,1.18,-0.75,28.87
22:33:29,-0.13,-4.53,8.14,-0.4375,-0.3125,-0.375,-59.25,49.0,-25.5625,1.18,-0.75,28.87
22:33:29,-0.11,-4.52,8.14,-0.125,0.0,0.1875,-57.375,49.375,-23.5,1.18,-0.75,28.87
22:33:30,-0.09,-4.52,8.16,0.0625,0.3125,0.0625,-60.25,48.5625,-24.375,1.18,-0.75,28.87
22:33:30,-0.08,-4.56,8.16,0.0,0.0625,0.0,-57.75,49.6875,-23.5,1.18,-0.75,28.87
22:33:31,-0.14,-4.52,8.18,-0.0625,0.0625,0.0625,-57.375,48.5625,-24.75,1.18,-0.75,28.87
22:33:31,-0.11,-4.52,8.15,0.1875,-0.1875,0.0,-58.0625,49.0,-24.375,1.18,-0.75,28.87
22:33:32,-0.11,-4.55,8.15,0.0,-0.1875,0.1875,-57.375,50.75,-24.375,1.18,-0.75,28.87
22:33:33,-0.13,-4.54,8.16,0.0625,-0.1875,-0.0625,-58.0625,50.375,-22.6875,1.18,-0.75,28.87
22:33:33,-0.13,-4.51,8.11,-0.1875,0.0625,-0.1875,-58.5,48.5625,-23.875,1.18,-0.75,28.87
22:33:34,-0.09,-4.52,8.17,0.0,0.25,0.1875,-59.25,49.0,-24.75,1.18,-0.75,28.87
22:33:34,-0.13,-4.53,8.15,0.0,-0.0625,0.125,-59.25,47.875,-23.875,1.18,-0.75,28.87
22:33:35,-0.11,-4.53,8.14,-0.0625,0.0625,-0.125,-59.875,47.875,-23.875,1.18,-0.75,28.87
22:33:36,-0.1,-4.53,8.16,0.1875,0.125,-0.0625,-58.875,47.875,-23.5,1.18,-0.75,28.87
22:33:36,-0.11,-4.52,8.14,-0.0625,-0.25,0.0,-58.875,49.0,-23.875,1.18,-0.75,28.87
22:33:37,-0.13,-4.53,8.13,0.125,0.0625,0.1875,-59.875,49.6875,-24.75,1.18,-0.75,28.87
22:33:37,-0.11,-4.54,8.16,0.0625,0.0625,0.125,-59.5625,48.25,-24.75,1.18,-0.75,28.87
22:33:38,-0.12,-4.54,8.15,0.125,-0.0625,0.0625,-58.875,48.25,-24.375,1.18,-0.75,28.87
22:33:38,-0.12,-4.53,8.13,-0.125,0.0,-0.0625,-59.25,50.75,-23.875,1.18,-0.75,28.87
22:33:39,-0.12,-4.54,8.15,-0.125,0.0625,-0.0625,-57.375,48.5625,-23.0625,1.18,-0.75,28.87
22:33:40,-0.11,-4.54,8.14,-0.0625,-0.0625,0.0625,-58.5,49.6875,-24.375,1.18,-0.75,28.87
22:33:40,-0.13,-4.53,8.15,-0.1875,0.0,0.0,-58.0625,49.0,-23.875,1.18,-0.75,28.87
22:33:41,-0.13,-4.54,8.13,0.0625,0.0625,-0.125,-59.875,47.875,-23.875,1.18,-0.75,28.87
22:33:41,-0.11,-4.52,8.14,0.0625,-0.125,0.0,-58.875,49.375,-23.875,1.18,-0.75,28.87
22:33:42,-0.11,-4.53,8.13,-0.1875,-0.125,0.0,-59.25,48.5625,-23.875,1.18,-0.75,28.87
22:33:43,-0.13,-4.54,8.12,-0.125,0.125,0.0625,-59.25,48.25,-23.0625,1.18,-0.75,28.87
22:33:43,-0.09,-4.54,8.17,0.0625,-0.1875,-0.125,-57.75,50.375,-23.5,1.18,-0.75,28.87
22:33:44,-0.11,-4.54,8.15,-0.0625,0.125,0.0625,-59.25,47.5,-23.5,1.18,-0.75,28.87
22:33:44,-0.1,-4.53,8.13,0.125,-0.125,0.0,-57.75,47.875,-22.25,1.18,-0.75,28.87
22:33:45,-0.1,-4.55,8.15,0.0,0.0625,0.0625,-59.875,49.6875,-23.5,1.18,-0.75,28.87
22:33:45,-0.11,-4.54,8.14,-0.125,-0.1875,0.0625,-59.875,48.5625,-23.0625,1.18,-0.75,28.87
22:33:46,-0.1,-4.55,8.18,0.0625,0.125,0.0625,-57.375,48.5625,-23.0625,1.18,-0.75,28.87
22:33:47,-0.1,-4.55,8.15,0.0625,0.25,0.0,-59.5625,49.0,-23.875,1.18,-0.75,28.87
22:33:47,-0.1,-4.54,8.14,0.0625,-0.3125,0.0625,-56.6875,49.0,-24.375,1.18,-0.75,28.87
22:33:48,-0.11,-4.53,8.17,0.0,-0.125,-0.125,-59.5625,48.25,-24.375,1.18,-0.75,28.87
22:33:48,-0.12,-4.53,8.16,-0.125,-0.25,0.0,-58.0625,50.375,-23.875,1.18,-0.75,28.87
22:33:49,-0.1,-4.51,8.19,0.0,0.1875,0.0625,-58.875,49.0,-23.875,1.18,-0.75,28.87
22:33:50,-0.13,-4.51,8.12,0.1875,-0.125,0.125,-58.5,49.0,-25.1875,1.18,-0.75,28.87
22:33:50,-0.09,-4.53,8.15,0.0,0.0625,-0.125,-58.0625,49.0,-24.375,1.18,-0.75,28.87
22:33:51,-0.11,-4.55,8.13,-0.125,0.0,0.1875,-59.1875,48.5625,-23.5,1.18,-0.75,28.87
