TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
21:35:41,-0.13,-4.52,8.17,0.0625,0.0625,-0.125,-57.375,48.5625,-23.5,1.43,-0.68,28.81
21:35:50,-0.11,-4.51,8.19,0.0,-0.125,-0.125,-57.75,49.0,-22.6875,1.43,-0.68,28.81
21:35:51,-0.12,-4.52,8.15,0.0625,0.0,0.25,-57.375,49.0,-23.5,1.43,-0.68,28.81
21:35:51,-0.13,-4.5,8.14,0.0625,0.125,0.0,-59.5625,48.5625,-24.375,1.43,-0.68,28.81
21:35:52,-0.13,-4.52,8.17,0.0,0.0625,0.125,-59.5625,49.0,-23.0625,1.43,-0.68,28.81
21:35:52,-0.13,-4.52,8.17,0.0,0.0,0.125,-60.25,48.5625,-23.5,1.43,-0.68,28.81
21:35:53,-0.12,-4.53,8.18,0.0625,0.125,-0.0625,-58.5,47.875,-24.375,1.43,-0.68,28.81
21:35:53,-0.1,-4.52,8.16,0.0625,0.25,0.0,-59.5625,50.375,-21.875,1.43,-0.68,28.81
