TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
21:38:10,-0.13,-4.53,8.14,-0.125,0.1875,-0.0625,-57.75,49.6875,-23.875,1.43,-0.68,28.81
21:38:17,-0.13,-4.53,8.19,0.0,0.0,0.0625,-57.0,48.5625,-23.5,1.43,-0.68,28.81
21:38:18,-0.12,-4.5,8.17,0.0625,0.125,0.0625,-57.75,48.5625,-24.375,1.43,-0.68,28.81
21:38:18,-0.12,-4.54,8.13,0.0,-0.25,0.25,-59.875,49.6875,-23.5,1.43,-0.68,28.81
21:38:19,-0.11,-4.51,8.18,-0.1875,0.0,0.125,-59.875,47.875,-23.5,1.43,-0.68,28.81
21:38:19,-0.12,-4.53,8.19,0.0625,0.0625,0.125,-59.875,48.5625,-22.25,1.43,-0.68,28.81
21:38:20,-0.13,-4.51,8.15,0.0625,-0.0625,0.0,-58.5,48.25,-24.25,1.43,-0.68,28.81
21:38:21,-0.11,-4.52,8.18,-0.0625,0.0625,-0.125,-59.5625,48.5625,-23.0625,1.43,-0.68,28.81
21:38:21,-0.14,-4.52,8.14,0.0625,0.0,-0.0625,-59.1875,48.25,-23.0625,1.43,-0.68,28.81
21:38:22,-0.12,-4.51,8.14,0.0625,-0.125,0.0625,-57.75,50.0625,-23.0625,1.43,-0.68,28.81
21:38:22,-0.13,-4.52,8.19,0.125,-0.0625,0.0625,-59.5625,49.0,-23.0625,1.43,-0.68,28.81
21:38:23,-0.1,-4.52,8.15,0.1875,-0.125,0.0,-58.0625,49.6875,-23.875,1.43,-0.68,28.81
