TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
22:12:45,-0.11,-4.52,8.14,0.0625,-0.125,-0.0625,-59.5625,48.5625,-23.875,1.18,-0.81,28.81
22:12:50,-0.12,-4.52,8.14,0.0,0.0,0.0,-57.375,48.25,-23.5,1.18,-0.81,28.81
22:12:51,-0.09,-4.54,8.18,0.0625,0.0,-0.125,-59.25,48.25,-22.25,1.18,-0.81,28.81
22:12:51,-0.12,-4.52,8.16,0.125,-0.0625,0.125,-60.25,46.75,-23.5,1.18,-0.81,28.81
22:12:52,-0.11,-4.55,8.12,-0.0625,-0.125,-0.3125,-59.25,50.0625,-24.75,1.18,-0.81,28.81
22:12:53,-0.11,-4.54,8.17,0.0,-0.0625,-0.125,-58.5,49.6875,-23.5,1.18,-0.81,28.81
22:12:53,-0.13,-4.53,8.16,-0.125,0.1875,0.25,-58.0625,48.25,-23.5,1.18,-0.81,28.81
