TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
23:19:48,-0.09,-4.52,8.14,0.0,0.0,0.0,-57.0,49.25,-25.0625,0.81,-0.87,28.81
23:20:02,-0.1,-4.53,8.15,0.0,-0.0625,0.0,-56.5625,50.0625,-23.875,0.81,-0.87,28.81
23:20:02,-0.09,-4.55,8.13,0.1875,0.0625,0.125,-57.0,48.875,-25.0625,0.81,-0.87,28.81
23:20:03,-0.13,-4.52,8.17,0.125,-0.125,-0.1875,-58.0625,48.875,-23.875,0.81,-0.87,28.81
23:20:03,-0.12,-4.56,8.14,0.0,0.125,-0.25,-57.0,48.25,-22.25,0.81,-0.87,28.81
23:20:04,-0.1,-4.53,8.16,0.1875,0.1875,0.25,-59.875,48.25,-23.875,0.81,-0.87,28.81
23:20:05,-0.11,-4.54,8.15,-0.1875,0.0,-0.1875,-59.1875,50.0625,-21.875,0.81,-0.87,28.81
23:20:05,-0.12,-4.55,8.16,0.0,-0.0625,0.0625,-58.0625,48.5625,-23.5,0.81,-0.87,28.81
