TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
22:21:03,-2.17,0.25,9.35,0.0,0.0625,-0.0625,0.875,65.6875,-0.75,358.75,-12.62,-1.56
22:21:36,-2.14,0.25,9.34,0.0,0.0625,0.0,1.1875,65.0,-0.25,358.75,-12.62,-1.56
22:21:37,-2.17,0.28,9.41,0.0,0.1875,0.0625,1.5625,65.0,0.5,358.75,-12.62,-1.56
22:21:37,-2.17,0.29,9.37,-0.125,0.0625,0.0,0.875,65.0,-0.75,358.75,-12.62,-1.56
22:21:38,-2.15,0.14,9.35,0.125,-0.0625,-0.0625,0.5,65.375,-1.1875,358.75,-12.62,-1.56
22:21:38,-2.17,0.3,9.32,-0.125,0.375,-0.125,0.1875,65.375,-1.1875,358.75,-12.62,-1.56
22:21:39,-2.14,0.23,9.34,-0.0625,0.125,-0.0625,1.1875,65.0,-2.0,358.75,-12.62,-1.56
22:21:40,-2.15,0.22,9.34,0.125,-0.25,-0.0625,1.1875,65.375,-1.5625,358.75,-12.62,-1.56
