TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
19:54:16,-2.11,-3.81,8.52,0.125,-0.125,0.0625,-27.375,57.75,-32.0625,55.81,-12.81,24.06
19:54:24,-2.11,-3.8,8.48,0.1875,-0.125,-0.1875,-27.75,57.375,-32.375,55.81,-12.81,24.06
19:54:25,-2.14,-3.81,8.49,0.0,0.125,0.0625,-28.5,57.0,-31.25,55.81,-12.81,24.06
19:54:25,-2.11,-3.82,8.51,-0.125,-0.125,0.0,-28.5,56.5625,-32.375,55.81,-12.81,24.06
19:54:26,-2.13,-3.81,8.48,-0.0625,-0.25,0.0,-27.375,57.0,-32.375,55.81,-12.81,24.06
19:54:26,-2.1,-3.82,8.53,-0.1875,0.0,-0.125,-28.0625,57.375,-32.375,55.81,-12.81,24.06
19:54:27,-2.11,-3.79,8.47,-0.1875,-0.3125,-0.25,-28.75,56.5625,-31.1875,55.81,-12.81,24.06
19:54:28,-2.13,-3.76,8.47,-0.125,-0.25,0.0,-27.375,56.5625,-31.5625,55.81,-12.81,24.06
19:54:28,-2.1,-3.82,8.53,-0.0625,0.125,0.0,-27.75,56.25,-30.75,55.81,-12.81,24.06
19:54:29,-2.1,-3.83,8.54,0.125,0.375,0.1875,-28.5,57.0,-30.75,55.81,-12.81,24.06
19:54:29,-2.13,-3.81,8.51,0.0625,-0.125,-0.125,-28.0625,56.5625,-32.875,55.81,-12.81,24.06
