TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
22:31:31,-0.12,-4.55,8.15,-0.0625,0.0625,0.0625,-57.75,48.5625,-23.0625,1.18,-0.75,28.87
22:32:41,-0.11,-4.54,8.13,-0.1875,-0.0625,-0.0625,-57.0,48.25,-23.5625,1.18,-0.75,28.87
22:32:41,-0.11,-4.54,8.14,0.0625,-0.0625,0.0,-59.25,49.0,-24.375,1.18,-0.75,28.87
22:32:42,-0.15,-4.53,8.17,0.125,0.0625,-0.3125,-58.5,48.25,-23.0625,1.18,-0.75,28.87
22:32:42,-0.12,-4.51,8.12,-0.25,-0.3125,-0.3125,-58.875,47.0625,-23.875,1.18,-0.75,28.87
22:32:43,-0.12,-4.54,8.17,-0.125,-0.0625,0.125,-59.25,48.25,-23.0625,1.18,-0.75,28.87
22:32:43,-0.12,-4.52,8.19,0.25,0.0625,0.125,-58.875,48.25,-24.75,1.18,-0.75,28.87
22:32:44,-0.09,-4.51,8.12,0.0,-0.1875,-0.1875,-58.0625,47.875,-24.375,1.18,-0.75,28.87
22:32:45,-0.08,-4.54,8.19,-0.375,-0.125,-0.125,-59.25,48.25,-21.875,1.18,-0.75,28.87
22:32:45,-0.13,-4.54,8.15,0.0625,0.0,0.25,-57.75,47.5,-23.0625,1.18,-0.75,28.87
22:32:46,-0.08,-4.54,8.17,0.25,0.1875,-0.0625,-59.5625,48.25,-23.875,1.18,-0.75,28.87
22:32:46,-0.11,-4.52,8.18,-0.1875,-0.25,-0.25,-58.875,48.25,-23.5,1.18,-0.75,28.87
22:32:47,-0.1,-4.53,8.18,0.3125,0.0,-0.0625,-59.5625,48.25,-23.0625,1.18,-0.75,28.87
