TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
22:00:16,-0.12,-4.51,8.17,0.125,-0.125,-0.0625,-57.75,48.25,-23.0625,1.43,-0.68,28.87
22:00:17,-0.13,-4.51,8.13,-0.1875,0.0,0.0625,-58.5,48.25,-24.375,1.43,-0.68,28.87
22:00:17,-0.12,-4.53,8.18,-0.25,0.0625,-0.0625,-59.25,48.5625,-24.375,1.43,-0.68,28.87
22:00:18,-0.12,-4.54,8.17,0.0,-0.125,0.0,-58.875,49.6875,-22.25,1.43,-0.68,28.87
22:00:19,-0.11,-4.52,8.15,0.0625,0.1875,-0.0625,-58.0625,48.5625,-23.875,1.43,-0.68,28.87
22:00:19,-0.11,-4.53,8.15,0.0,-0.0625,0.0625,-57.0,49.0,-23.875,1.43,-0.68,28.87
22:00:20,-0.13,-4.53,8.14,0.0,-0.125,-0.0625,-57.75,48.5625,-22.6875,1.43,-0.68,28.87
22:00:20,-0.12,-4.53,8.18,0.0,-0.0625,0.0,-59.5625,49.0,-23.0625,1.43,-0.68,28.87
22:00:21,-0.11,-4.53,8.18,-0.125,0.0625,0.125,-57.75,49.0,-23.5,1.43,-0.68,28.87
22:00:21,-0.15,-4.53,8.15,0.0625,0.125,-0.0625,-58.5,48.5625,-24.75,1.43,-0.68,28.87
22:00:22,-0.11,-4.53,8.15,0.0625,-0.0625,0.0625,-59.25,48.25,-23.875,1.43,-0.68,28.87
22:00:23,-0.13,-4.51,8.17,0.0625,-0.125,0.0,-58.5,49.6875,-24.375,1.43,-0.68,28.87
22:00:23,-0.13,-4.53,8.15,-0.1875,0.0,0.125,-59.25,48.25,-23.0625,1.43,-0.68,28.87
22:00:24,-0.14,-4.54,8.16,-0.1875,0.0,0.125,-58.0625,48.25,-24.375,1.43,-0.68,28.87
22:00:24,-0.12,-4.54,8.15,0.0625,0.0,0.0,-59.5625,48.25,-23.875,1.43,-0.68,28.87
22:00:25,-0.12,-4.53,8.14,0.0625,-0.125,-0.0625,-58.0625,49.6875,-24.375,1.43,-0.68,28.87
22:00:26,-0.13,-4.49,8.17,-0.0625,0.1875,-0.0625,-57.75,50.0625,-23.5,1.43,-0.68,28.87
22:00:26,-0.12,-4.5,8.15,0.0,-0.0625,-0.125,-58.5,50.0625,-22.6875,1.43,-0.68,28.87
22:00:27,-0.11,-4.54,8.16,0.125,0.0625,0.125,-57.75,49.0,-24.75,1.43,-0.68,28.87
22:00:27,-0.14,-4.52,8.15,-0.1875,0.1875,-0.125,-59.25,48.25,-23.5,1.43,-0.68,28.87
22:00:28,-0.12,-4.52,8.18,-0.0625,0.0625,-0.0625,-58.5,50.375,-23.875,1.43,-0.68,28.87
22:00:28,-0.1,-4.52,8.17,-0.0625,0.25,0.0625,-58.875,48.25,-23.5,1.43,-0.68,28.87
22:00:29,-0.13,-4.51,8.19,0.0,0.0,0.0,-58.5,47.5,-23.0625,1.43,-0.68,28.87
22:00:30,-0.12,-4.51,8.15,0.125,0.0625,-0.125,-58.0625,50.375,-23.0625,1.43,-0.68,28.87
